OBJECTID,COMID_NHDv,HUC6,NT_Taxa,GNIS_NAME
8892,4507166,20700,2,
10439,5895262,20700,1,
55990,19761462,60101,2,
17344,8572987,20802,1,
17590,8607499,20802,3,
19758,8674193,30101,1,Buttermilk Branch
19911,8674987,30101,1,Noels Branch
20218,8678593,30101,2,
46167,14639363,60102,1,
11553,6889166,50500,1,
12244,6908265,50500,1,
16656,8544307,20802,1,
16784,8546345,20802,1,
19404,8657770,30101,1,
19720,8673553,30101,1,
19499,8672033,30101,1,
29849,9246184,30401,1,
56283,19763182,60101,1,Gray Creek
16215,8526229,20802,3,
16759,8546119,20802,1,
9208,4531611,20700,1,Oldham Run
12199,6907905,50500,1,
12156,6907701,50500,2,
20550,8695333,30101,1,
18211,8626527,30101,3,
29730,9245022,30401,1,
14467,8465281,20801,1,Hubbard Run
15356,8505892,20801,1,
17882,8623287,30101,1,
18995,8647808,30101,1,
29619,9243890,30401,1,
10449,5895448,20700,1,
10921,6884156,50500,12,
12158,6907711,50500,1,Given Branch
16319,8526839,20802,6,
18989,8647728,30101,1,Rough Creek
15757,8522205,20802,1,
35462,10478355,30102,1,
14370,8457626,20801,2,
12071,6906253,50500,1,
8953,4508504,20700,3,
15286,8505118,20801,2,
19265,8652724,30101,2,
21501,8738173,30102,1,
35201,10461843,30102,1,
11136,6885918,50500,1,Moccasin Branch
14708,8475082,20801,1,
17306,8572467,20802,1,
18866,8631705,30101,1,
18987,8647706,30101,1,
10895,6883898,50500,1,
20538,8695195,30101,1,
11648,6889802,50500,1,
18480,8628403,30101,3,
18546,8628661,30101,1,
20627,8696075,30101,2,
12239,6908225,50500,3,
21072,8719983,30102,2,
9134,4528447,20700,1,
10952,6884400,50500,1,
17959,8624027,30101,1,
18299,8627157,30101,1,
30394,9251516,30401,2,
19746,8674081,30101,1,
42797,12058530,20403,1,
12394,6909839,50500,2,
14459,8465185,20801,1,
16848,8547181,20802,1,
19200,8651432,30101,1,Jumpin Branch
14804,8476442,20801,1,
18547,8628665,30101,2,
17608,8607803,20802,3,
16101,8524971,20802,5,
17575,8607353,20802,1,
19127,8649676,30101,1,
16320,8526857,20802,4,
21675,8742549,30102,1,
35418,10477559,30102,1,
15796,8522491,20802,1,
21570,8741211,30102,1,Coldwater Creek
30485,9252590,30401,1,
16506,8539371,20802,1,
18963,8647508,30101,1,
21622,8742037,30102,1,
35744,10482311,30102,2,
